sdl2 2.0.9-1
sed 4.7-1
semver 5.6.0-1
serf 1.3.9-3
shaderc 2018.0-3
shadow 4.6-2
shared-mime-info 1.12-1
slang 2.3.2-1
smbclient 4.9.4-2
snappy 1.1.7-1
soapui 5.4.0-5
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
speex 1.2.0-2
speexdsp 1.2rc3-3
spirv-tools 2018.5-1
sqlite 3.26.0-2
srt 1.3.1-1
stacer-bin 1.0.9-1
startdde 3.11.0-2
startup-notification 0.12-6
subversion 1.11.1-1
sudo 1.8.27-1
syntax-highlighting 5.54.0-1
sysfsutils 2.1.0-10
systemd 240.34-3
systemd-sysvcompat 240.34-3
t1lib 5.1.2-7
taglib 1.11.1-2
talloc 2.1.14-1
tar 1.31-2
tcl 8.6.9-2
tdb 1.3.16-1
tesseract 4.0.0-1
tesseract-data-chi_sim 1:4.0.0-1
tesseract-data-chi_tra 1:4.0.0-1
tesseract-data-eng 1:4.0.0-1
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
tidy 5.7.16-1
treefrog-framework 1.23.0-1
tslib 1.19-1
ttf-dejavu 2.37-2
ttf-wps-fonts 1.0-3.1
twolame 0.3.13-8
typora 0.9.64-2
tzdata 2018i-1
uchardet 0.0.6-2
udisks2 2.8.1-1
unrar 1:5.7.1-1
unzip 6.0-13
upower 0.99.9-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.33.1-2
v4l-utils 1.16.3-1
vamp-plugin-sdk 2.7.1-2
vi 1:070224-3
vid.stab 1.1-2
visual-studio-code-bin 1.31.1-1
vlc 3.0.6-2
volume_key 0.3.11-2
vte-common 0.54.3-1
vte3 0.54.3-1
vulkan-icd-loader 1.1.99+3022+e1eafa18e-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.17-1
webkit2gtk 2.22.6-1
webrtc-audio-processing 0.3.1-1
wget 1.20.1-2
which 2.21-3
wildmidi 0.4.3-1
wine 4.1-1
wireless_tools 30.pre9-2
woff2 1.0.2-1
wpa_supplicant 2:2.6-2
wps-office 10.1.0.6757-1
wqy-microhei 0.2.0_beta-9
wqy-zenhei 0.9.45-7
wxgtk-common 3.0.4-2
wxgtk3 3.0.4-2
x264 2:155.r0a84d986-2
x265 3.0-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcur2png 0.7.1-6
xdg-user-dirs 0.17-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xf86-input-libinput 0.28.2-1
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+859+g33ee0c3b-1
xf86-video-nouveau 1.0.16-1
xf86-video-vesa 2.4.0-2
xfsprogs 4.19.0-2
xkeyboard-config 2.26-2
xmlsec 1.2.27-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.4-5
xorg-luit 1.1.1-3
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-setxkbmap 1.3.1-2
xorg-twm 1.0.10-1
xorg-xauth 1.0.10-2
xorg-xdpyinfo 1.3.2-2
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.2-1
xorg-xmodmap 1.0.9-2
xorg-xprop 1.2.3-1
